date,steps,workouts_ct,workout_minutes,workout_distance,workout_energy
2025-04-28 00:00:00,13169,2,71.88346854845682,0.0,0.0
2025-04-29 00:00:00,7994,0,0.0,0.0,0.0
2025-04-30 00:00:00,23832,0,0.0,0.0,0.0
2025-05-01 00:00:00,10312,0,0.0,0.0,0.0
2025-05-02 00:00:00,11219,2,70.79077099959056,0.0,0.0
2025-05-03 00:00:00,24053,1,36.68422958254814,0.0,0.0
2025-05-04 00:00:00,17405,1,50.10660220185915,0.0,0.0
2025-05-05 00:00:00,10993,2,76.7359248161316,0.0,0.0
2025-05-06 00:00:00,10044,0,0.0,0.0,0.0
2025-05-07 00:00:00,13200,0,0.0,0.0,0.0
2025-05-08 00:00:00,9268,0,0.0,0.0,0.0
2025-05-09 00:00:00,3801,0,0.0,0.0,0.0
2025-05-10 00:00:00,12897,0,0.0,0.0,0.0
2025-05-11 00:00:00,17512,0,0.0,0.0,0.0
2025-05-12 00:00:00,9213,2,58.47774691581728,0.0,0.0
2025-05-13 00:00:00,9589,0,0.0,0.0,0.0
2025-05-14 00:00:00,8511,0,0.0,0.0,0.0
2025-05-15 00:00:00,10154,0,0.0,0.0,0.0
2025-05-16 00:00:00,6788,0,0.0,0.0,0.0
2025-05-17 00:00:00,23233,0,0.0,0.0,0.0
2025-05-18 00:00:00,14367,0,0.0,0.0,0.0
2025-05-19 00:00:00,11565,2,68.11238444844881,0.0,0.0
2025-05-20 00:00:00,6613,0,0.0,0.0,0.0
2025-05-21 00:00:00,12269,0,0.0,0.0,0.0
2025-05-22 00:00:00,5436,0,0.0,0.0,0.0
2025-05-23 00:00:00,12078,0,0.0,0.0,0.0
2025-05-24 00:00:00,9377,0,0.0,0.0,0.0
2025-05-25 00:00:00,7659,0,0.0,0.0,0.0
2025-05-26 00:00:00,10670,2,77.46157739758492,0.0,0.0
2025-05-27 00:00:00,8428,0,0.0,0.0,0.0
2025-05-28 00:00:00,10696,0,0.0,0.0,0.0
2025-05-29 00:00:00,15055,1,45.90490106741587,0.0,0.0
2025-05-30 00:00:00,12386,0,0.0,0.0,0.0
2025-05-31 00:00:00,38032,0,0.0,0.0,0.0
2025-06-01 00:00:00,4329,0,0.0,0.0,0.0
2025-06-02 00:00:00,9214,1,26.78824013471603,0.0,0.0
2025-06-03 00:00:00,10702,0,0.0,0.0,0.0
2025-06-04 00:00:00,12211,0,0.0,0.0,0.0
2025-06-05 00:00:00,7991,0,0.0,0.0,0.0
2025-06-06 00:00:00,8403,0,0.0,0.0,0.0
2025-06-07 00:00:00,20869,0,0.0,0.0,0.0
2025-06-08 00:00:00,16696,0,0.0,0.0,0.0
2025-06-09 00:00:00,15908,0,0.0,0.0,0.0
2025-06-10 00:00:00,9993,0,0.0,0.0,0.0
2025-06-11 00:00:00,8593,0,0.0,0.0,0.0
2025-06-12 00:00:00,9151,0,0.0,0.0,0.0
2025-06-13 00:00:00,12067,2,56.23569663365682,0.0,0.0
2025-06-14 00:00:00,16597,0,0.0,0.0,0.0
2025-06-15 00:00:00,16671,0,0.0,0.0,0.0
2025-06-16 00:00:00,17054,2,72.27076058387757,0.0,0.0
2025-06-17 00:00:00,5185,0,0.0,0.0,0.0
2025-06-18 00:00:00,6566,0,0.0,0.0,0.0
2025-06-19 00:00:00,9307,0,0.0,0.0,0.0
2025-06-20 00:00:00,19725,2,54.21729381680489,0.0,0.0
2025-06-21 00:00:00,13028,0,0.0,0.0,0.0
2025-06-22 00:00:00,13265,0,0.0,0.0,0.0
2025-06-23 00:00:00,14645,2,75.70486666560173,0.0,0.0
2025-06-24 00:00:00,8849,0,0.0,0.0,0.0
2025-06-25 00:00:00,8237,0,0.0,0.0,0.0
2025-06-26 00:00:00,11322,0,0.0,0.0,0.0
2025-06-27 00:00:00,11386,2,56.39749091664949,0.0,0.0
2025-06-28 00:00:00,11777,0,0.0,0.0,0.0
2025-06-29 00:00:00,24740,0,0.0,0.0,0.0
2025-06-30 00:00:00,27656,0,0.0,0.0,0.0
2025-07-01 00:00:00,28227,0,0.0,0.0,0.0
2025-07-02 00:00:00,16980,0,0.0,0.0,0.0
2025-07-03 00:00:00,27782,0,0.0,0.0,0.0
2025-07-04 00:00:00,26248,0,0.0,0.0,0.0
2025-07-05 00:00:00,23778,0,0.0,0.0,0.0
2025-07-06 00:00:00,26573,0,0.0,0.0,0.0
2025-07-07 00:00:00,33152,0,0.0,0.0,0.0
2025-07-08 00:00:00,16444,0,0.0,0.0,0.0
2025-07-09 00:00:00,22885,0,0.0,0.0,0.0
2025-07-10 00:00:00,27764,0,0.0,0.0,0.0
2025-07-11 00:00:00,28416,1,21.69662086764971,0.0,0.0
2025-07-12 00:00:00,28527,0,0.0,0.0,0.0
2025-07-13 00:00:00,9343,0,0.0,0.0,0.0
2025-07-14 00:00:00,10572,2,50.22553536891938,0.0,0.0
2025-07-15 00:00:00,8771,0,0.0,0.0,0.0
2025-07-16 00:00:00,10198,0,0.0,0.0,0.0
2025-07-17 00:00:00,11256,0,0.0,0.0,0.0
2025-07-18 00:00:00,17180,0,0.0,0.0,0.0
2025-07-19 00:00:00,21536,0,0.0,0.0,0.0
2025-07-20 00:00:00,12256,0,0.0,0.0,0.0
2025-07-21 00:00:00,15828,2,66.5079750319322,0.0,0.0
2025-07-22 00:00:00,9001,0,0.0,0.0,0.0
2025-07-23 00:00:00,16994,0,0.0,0.0,0.0
2025-07-24 00:00:00,12497,0,0.0,0.0,0.0
